day,hour,value
1,12,224
1,13,256
1,14,229
1,15,343
1,16,539
1,17,254
1,18,790
1,19,127
1,20,54
1,21,166
1,23,441
1,24,72
2,01,222
2,02,17
2,03,15
2,04,20
2,05,29
2,06,80
2,07,73
2,08,182
2,09,405
2,10,423
2,12,1337
2,13,187
2,14,639
2,18,4889
2,19,185
2,20,245
2,24,2045
3,01,220
3,02,28
3,03,36
3,04,31
3,05,31
3,06,142
3,07,105
3,08,125
3,09,305
3,10,425
3,11,677
3,12,186
3,13,433
3,14,201
3,15,863
3,20,3933
3,22,691
4,04,2230
4,05,3433
4,06,118
4,07,158
4,08,218
4,09,273
4,10,526
4,13,2708
4,18,3402
4,24,275
5,01,6827
5,02,1808
5,03,15
5,04,18
5,05,40
5,06,89
5,07,116
5,08,117
5,09,317
5,10,452
5,11,269
5,12,207
5,13,589
5,14,312
5,17,2808
5,18,596
5,19,91
5,21,458
5,22,109
5,23,69
5,24,68
6,01,37
6,02,20
6,03,34
6,04,3
6,05,86
6,06,43
6,07,62
6,08,53
6,09,83
6,10,123
6,11,125
6,12,129
6,13,70
6,14,220
6,15,245
6,16,240
6,17,216
6,18,124
6,19,127
6,20,119
6,21,159
6,22,69
6,23,40
6,24,105
7,01,18
7,02,17
7,03,20
7,04,17
7,05,13
7,06,65
7,07,89
7,08,64
7,09,113
7,10,181
7,11,210
7,12,149
7,13,141
7,14,161
7,15,266
7,16,280
7,17,170
7,18,209
7,19,101
7,20,59
7,21,75
7,22,83
7,23,33
7,24,63
1,01,216
1,02,21
1,03,28
1,04,10
1,05,14
1,06,21
1,07,258
1,08,175
1,09,289
1,12,1788
1,16,4237
